,SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges
1933,0,0,0,20,0,0,1,1,2,19.7
921,0,0,0,12,0,0,0,0,2,20.45
4195,1,0,0,45,1,1,0,1,2,70.05
6149,0,0,0,1,0,0,1,0,2,25.85
6236,1,1,0,33,0,0,0,1,1,100.6
2015,0,1,1,28,0,0,0,0,2,49.9
6681,1,0,0,3,0,0,0,0,2,91.05
6179,1,0,0,11,0,0,0,1,1,95.15
1589,1,0,0,7,0,0,0,1,2,64.95
2781,1,0,0,7,0,1,0,1,2,44.4
7040,0,1,1,11,1,0,0,1,2,29.6
6154,0,1,1,72,0,1,2,1,1,109.2
1599,0,1,1,70,0,1,2,1,1,80.4
4210,1,1,1,61,0,0,1,1,2,65.2
5262,0,0,0,59,1,1,1,0,1,68.7
5368,1,0,0,3,0,0,0,1,2,70.3
3621,0,1,1,2,0,0,0,1,2,24.4
3627,0,0,0,16,0,0,1,0,2,20.1
5578,0,1,1,42,0,0,2,0,2,20.0
5212,0,1,1,72,1,0,2,0,0,38.5
1335,0,0,0,2,0,0,0,1,2,45.0
1041,0,0,1,16,0,0,1,1,1,19.3
3887,0,0,0,11,0,0,0,0,2,74.95
3030,0,0,0,1,0,0,0,1,2,79.55
5183,1,1,1,34,0,0,0,1,2,79.6
6294,0,0,0,1,0,0,0,0,2,19.7
4133,0,0,0,56,0,0,0,0,2,98.6
2178,0,1,0,53,0,0,2,0,0,19.9
1710,0,0,0,5,0,1,0,1,2,82.75
1019,0,0,0,23,0,0,0,1,2,19.5
677,0,0,0,2,0,0,0,1,2,34.7
6412,0,1,1,72,1,1,2,1,1,108.3
286,0,0,0,20,0,0,0,1,2,44.35
5229,1,1,0,43,0,1,1,1,2,107.55
6874,0,1,0,31,0,1,0,1,2,49.2
6076,0,1,1,65,1,0,1,0,1,61.35
4487,0,1,1,4,0,0,1,0,0,24.1
5281,0,1,1,72,1,1,2,0,0,66.75
5707,0,0,0,2,0,0,0,0,2,45.55
3373,1,0,0,2,0,0,0,1,2,75.45
3574,0,0,0,1,0,0,0,1,2,20.35
5843,1,1,0,35,0,0,1,1,1,81.6
3042,0,0,0,46,0,0,0,0,1,30.3
4816,0,1,1,55,1,1,1,1,0,75.0
5245,0,1,1,70,0,0,2,1,0,20.15
24,0,1,1,49,1,1,0,0,0,59.6
1592,0,1,1,42,0,0,0,1,0,77.95
9,0,0,1,62,1,0,1,0,1,56.15
6304,0,0,0,9,0,0,0,1,1,77.65
6250,0,1,0,69,1,0,2,0,1,99.15
3194,1,1,0,43,0,0,0,0,0,55.55
2948,1,1,0,41,0,0,0,1,2,99.8
3894,0,1,0,68,1,1,2,0,2,118.6
6849,0,1,1,30,0,1,0,1,1,83.55
3023,0,1,1,72,1,1,2,0,0,89.7
5280,0,1,1,33,0,1,1,1,2,79.15
6295,0,1,1,48,0,0,2,0,1,20.2
4803,0,1,0,38,1,0,0,0,1,91.7
4104,0,1,0,8,0,0,0,1,1,49.55
1337,0,0,0,31,0,0,2,0,1,20.4
1831,1,1,0,22,1,1,0,1,2,63.55
3368,0,0,0,46,0,0,1,1,2,94.15
716,0,1,0,71,0,1,2,0,1,58.25
5296,0,0,0,57,1,1,1,1,0,41.1
3039,1,1,0,72,1,1,2,1,0,64.45
6257,1,0,0,1,0,0,0,1,2,73.0
4667,0,1,0,20,0,0,0,0,1,19.25
3262,0,1,1,34,0,0,0,0,2,87.45
2636,1,1,0,70,1,1,2,1,0,113.0
3776,0,1,0,43,0,0,1,1,2,56.35
547,0,0,0,65,0,1,1,1,1,105.05
1895,0,0,1,68,1,1,2,1,1,86.5
4956,1,0,0,8,0,0,0,1,0,94.45
3633,1,0,0,1,0,0,0,1,2,71.25
5263,1,0,0,55,1,0,0,1,2,44.85
2762,0,0,0,25,0,1,2,0,1,99.3
1770,1,0,0,41,1,0,0,1,2,113.2
485,0,1,1,72,0,0,2,1,0,84.5
2684,0,0,0,69,0,1,1,1,1,105.2
5672,0,1,0,49,1,0,1,0,2,71.8
906,0,0,0,4,0,0,0,1,2,56.4
1399,0,1,1,14,0,0,1,0,2,19.55
1613,0,0,0,34,0,0,0,0,2,19.7
3756,0,0,0,1,0,0,0,1,2,24.45
5673,0,0,0,4,0,0,1,0,2,19.7
1799,0,0,0,10,1,0,0,1,2,98.7
5150,0,1,0,2,0,0,0,0,1,20.1
268,0,0,0,59,0,0,2,0,2,19.35
5377,0,0,0,4,0,1,0,1,2,61.3
5436,0,0,1,1,1,1,0,0,2,54.5
1443,0,1,0,3,0,1,0,1,2,55.8
2664,0,1,1,62,1,0,1,1,0,94.95
1993,0,1,1,1,0,0,0,1,2,45.7
1620,0,1,1,2,0,1,0,0,1,29.05
2246,0,1,1,1,1,0,0,1,2,102.45
6160,0,0,0,36,1,1,1,1,0,89.65
2923,0,0,0,54,1,0,0,0,2,89.8
6024,0,1,0,3,0,0,0,1,0,91.5
6433,0,1,1,58,0,0,2,0,0,20.5
4137,0,1,1,12,0,0,0,1,0,20.1
540,0,1,1,72,1,1,2,1,1,113.1
3806,1,0,0,18,0,0,0,1,2,73.55
3717,0,0,0,29,0,0,0,0,1,48.95
27,0,1,1,1,0,0,0,0,2,30.2
1152,0,0,0,7,0,0,0,0,2,54.85
2436,1,0,0,31,1,0,0,1,0,73.55
5354,0,0,1,1,0,0,0,1,2,89.35
5629,1,0,0,1,0,0,0,0,2,20.05
4351,0,0,0,7,0,0,0,0,2,20.35
2583,1,0,0,57,1,1,2,0,1,69.85
2490,0,0,1,39,0,1,2,0,2,100.55
227,0,1,0,1,0,0,0,0,2,55.2
5105,1,1,0,40,0,1,1,1,0,99.2
1688,0,0,0,40,0,0,2,0,2,20.15
3049,0,0,0,3,0,0,0,0,2,19.75
3745,0,0,0,7,0,0,0,1,2,94.25
5652,0,0,0,1,0,0,0,1,2,48.6
1893,0,0,1,16,1,0,0,1,2,69.1
2006,0,0,0,5,0,0,0,0,2,47.15
5061,1,1,1,55,1,1,1,0,2,76.25
2238,0,0,0,1,0,1,0,1,2,95.85
5759,0,0,0,1,0,0,0,1,2,70.15
6714,0,0,0,13,0,1,0,0,2,100.75
6331,0,1,1,47,1,1,1,0,2,40.3
5915,0,0,0,69,0,0,2,1,2,19.1
6837,1,0,0,6,0,0,0,1,2,79.7
5224,1,0,0,45,0,0,1,1,1,100.15
4931,0,1,0,15,0,1,0,1,2,103.45
4554,0,0,0,20,1,1,0,1,1,108.2
3399,0,0,0,42,0,1,2,1,0,78.45
4239,0,1,1,56,0,0,1,1,0,36.1
5828,0,1,1,72,0,0,2,0,1,24.45
114,0,1,1,64,0,1,2,1,2,54.6
5665,0,0,0,34,0,0,0,1,1,25.05
3015,0,1,1,59,1,1,2,1,2,86.75
2153,0,1,0,25,0,0,0,1,2,74.6
3482,0,0,0,19,0,0,0,1,1,45.0
819,0,1,0,70,1,1,2,1,0,88.0
4907,0,1,0,71,0,0,2,0,2,23.85
5326,0,1,1,15,0,0,0,1,2,20.0
6738,0,0,0,1,0,0,0,0,2,20.35
160,0,0,1,13,1,0,0,1,2,56.0
247,1,0,0,15,0,0,0,1,2,74.4
6448,0,0,0,58,0,1,1,1,2,104.65
2412,0,1,0,42,0,1,1,0,2,33.55
6172,0,1,0,10,0,0,0,1,2,70.1
3339,0,1,1,68,1,1,2,0,0,88.0
6218,0,1,1,70,0,1,1,1,1,58.4
3526,1,0,0,5,0,0,0,0,2,50.35
6707,1,1,0,72,0,0,2,1,0,25.7
2142,0,0,1,21,1,0,1,0,2,64.85
3064,0,0,0,21,0,0,0,1,2,68.65
3579,0,1,1,40,0,0,0,1,2,81.2
2129,0,0,0,1,0,0,0,1,2,75.3
3223,0,1,0,3,0,0,0,0,0,29.8
1801,0,0,0,22,0,0,0,1,2,69.7
4729,0,1,1,69,0,0,2,1,0,54.95
1395,0,1,0,41,0,0,1,1,2,73.0
624,0,0,0,7,0,0,0,0,1,20.0
6186,0,1,0,47,1,1,1,1,0,110.85
6258,0,1,0,3,0,0,0,1,2,19.9
1676,0,0,0,4,1,0,0,1,2,80.15
6752,0,0,0,12,1,1,2,0,2,49.85
2222,0,1,1,38,0,0,0,1,0,101.15
5949,0,0,0,68,0,1,0,0,2,44.95
4201,0,1,1,72,0,0,2,0,1,19.55
3681,1,1,0,46,0,0,0,1,2,101.0
1985,0,1,1,12,0,0,0,0,2,29.2
3464,0,1,0,31,0,0,0,1,1,83.85
5166,0,0,0,61,1,0,1,0,2,104.0
1411,1,0,0,29,0,0,0,1,1,101.45
6424,0,1,0,72,0,0,2,1,2,54.2
4199,0,1,0,55,0,1,1,1,2,104.15
1568,1,0,0,11,0,1,0,1,2,111.4
1497,0,1,1,51,1,0,0,1,1,79.15
3036,0,0,0,67,1,1,1,1,1,49.35
4344,0,0,0,68,0,0,2,1,2,80.65
3953,1,0,0,6,0,0,0,0,2,74.4
2696,0,0,0,68,1,1,2,0,2,38.9
6767,0,1,0,57,1,1,0,0,2,55.7
3467,1,0,0,5,0,0,0,1,2,91.4
3410,0,0,0,3,0,0,0,0,0,53.4
1761,0,0,0,58,0,0,2,1,0,24.45
6246,0,0,0,54,1,0,2,1,1,65.3
5294,0,1,1,53,1,1,2,1,1,104.05
6216,0,1,1,58,1,1,2,0,0,71.6
3198,0,1,0,40,0,0,1,1,1,106.0
1678,1,1,0,67,1,1,1,1,0,105.4
5005,0,1,0,39,1,1,1,1,0,104.7
7033,0,0,0,38,0,0,0,1,0,69.5
781,0,1,1,5,0,0,0,0,2,44.8
3744,0,0,0,26,0,0,1,0,1,75.5
407,1,1,1,32,0,0,0,1,2,93.95
2353,0,0,0,3,0,0,0,1,2,80.35
2851,0,1,1,64,1,1,2,1,2,90.6
1104,0,0,0,42,0,0,1,1,2,19.55
4598,0,0,0,18,1,0,0,0,2,56.25
899,0,1,0,50,1,0,0,1,0,94.4
3210,0,1,1,64,1,1,1,0,2,65.8
1479,0,0,0,44,0,0,1,1,2,49.05
2954,0,0,0,7,0,0,0,0,2,75.45
2205,1,0,0,34,0,0,1,1,2,99.85
2267,0,1,0,72,1,1,2,1,0,113.65
979,0,1,1,35,1,1,1,1,1,54.95
4455,0,0,0,1,0,0,0,1,2,50.45
2213,0,1,1,12,0,0,2,0,0,25.25
914,0,1,1,72,0,0,2,1,1,25.2
3442,0,0,0,29,0,1,0,1,0,98.8
6104,0,0,0,4,0,0,1,0,2,23.9
6825,0,0,0,27,0,0,0,1,2,81.3
3509,0,0,0,1,0,0,0,1,2,44.9
4754,0,1,0,68,0,0,2,0,1,25.25
2268,0,0,0,40,0,0,2,1,1,20.6
823,0,0,0,5,0,1,0,1,0,63.95
5726,0,1,1,47,0,0,2,1,1,21.3
6935,0,1,1,65,0,1,2,1,0,110.8
1306,0,0,0,70,1,1,1,0,0,115.55
5367,0,1,1,65,1,1,2,1,1,82.5
6052,0,1,1,41,1,1,2,0,2,78.45
6364,0,0,1,27,0,0,2,1,0,25.85
6123,0,0,0,65,1,1,1,0,2,93.55
2466,0,1,1,60,0,0,2,0,2,20.55
2230,0,1,1,45,0,0,2,0,2,20.35
3446,0,0,0,58,1,0,1,1,2,107.75
4080,0,1,1,29,0,0,2,0,2,26.1
1594,0,0,1,62,0,0,2,0,1,26.0
3521,0,1,1,57,1,0,1,0,2,53.45
6999,0,0,0,3,1,0,0,1,2,35.45
216,0,1,1,72,1,1,2,0,0,45.25
104,0,1,0,68,0,1,2,1,1,110.0
4769,0,1,1,35,0,0,1,0,2,19.9
5111,1,0,0,47,1,0,0,0,2,85.5
3273,0,0,0,33,0,0,0,0,2,68.25
2984,0,1,0,26,0,0,1,0,2,26.0
5822,1,0,0,35,0,0,0,0,2,70.55
170,0,1,0,43,1,1,1,1,1,84.25
1102,0,1,1,3,0,0,0,1,2,56.15
3503,0,0,0,66,0,1,1,1,2,104.25
6032,1,1,0,68,0,0,0,1,2,105.3
971,0,1,0,49,1,0,0,1,1,93.85
6209,0,0,0,29,0,0,1,1,2,24.85
1141,0,0,1,6,0,0,0,1,2,20.2
3985,1,1,0,16,1,0,0,1,1,54.55
3249,0,1,1,10,0,0,0,1,2,55.55
4657,0,1,0,42,0,0,0,1,0,25.1
2107,0,1,0,33,0,0,0,1,2,93.35
1681,0,1,0,72,0,0,2,0,0,25.0
3658,0,0,0,10,0,1,0,0,2,54.25
1601,0,1,0,46,0,0,1,1,2,94.65
842,0,1,1,12,0,0,1,0,1,19.8
6096,1,0,0,1,0,0,0,1,2,70.2
5441,0,1,0,70,1,1,2,0,0,65.3
188,0,0,0,13,0,0,1,0,2,19.65
196,0,1,1,24,0,0,2,1,1,24.1
1714,0,0,0,68,1,0,1,0,0,76.75
3330,1,0,0,51,0,0,0,1,2,97.8
5823,0,0,0,22,0,0,0,1,2,20.05
6665,0,1,1,43,0,0,0,0,0,29.3
5089,0,1,1,8,0,0,0,1,2,54.4
2978,0,0,0,24,0,1,0,1,2,85.95
6429,0,1,1,67,1,1,1,1,0,69.35
254,0,0,0,10,0,0,0,1,2,19.85
2759,0,0,0,1,0,0,0,0,1,19.65
587,0,1,1,5,0,0,1,0,2,20.1
3448,0,1,1,4,0,1,0,0,0,61.45
6643,1,1,0,3,0,0,0,1,1,74.6
578,1,1,0,35,1,0,0,1,2,94.55
2761,1,0,0,10,0,0,0,1,2,34.7
3004,0,1,1,1,0,0,0,0,2,89.15
1643,0,1,0,37,0,1,0,1,2,90.35
2875,0,1,0,22,0,0,0,1,2,85.1
6472,0,1,1,60,1,0,1,0,1,94.15
1009,1,1,0,23,0,0,1,1,2,20.75
5645,0,1,0,64,1,0,1,1,0,66.15
4710,0,1,1,6,0,1,2,0,2,40.55
3283,0,1,1,69,0,0,1,1,0,20.35
3239,0,0,0,16,0,1,0,1,2,49.45
5020,0,0,0,41,0,0,2,1,2,19.85
2958,0,0,0,1,0,0,0,0,0,19.55
6801,0,1,1,19,0,1,1,1,1,89.35
3501,0,1,1,59,1,1,2,1,2,76.45
5791,0,1,0,63,0,0,0,1,2,102.4
71,0,1,1,52,0,0,1,1,2,20.4
6426,0,0,0,41,0,1,1,0,1,50.05
1085,1,0,0,13,0,0,0,1,2,74.3
1947,0,0,0,70,0,1,1,1,1,90.25
3019,0,1,1,22,0,1,0,0,2,55.15
3779,1,1,1,66,1,1,2,0,0,79.4
795,0,1,0,2,0,1,0,1,2,64.2
6138,1,1,0,67,1,0,0,0,1,83.85
2010,0,0,0,5,0,0,0,1,1,75.9
5704,0,1,0,19,0,0,0,1,2,86.85
5741,0,0,0,19,0,0,0,1,2,99.95
2633,0,1,0,65,1,1,1,1,1,100.15
3115,0,0,0,13,0,0,0,1,2,84.45
3372,1,0,0,57,0,1,0,1,1,104.9
1746,0,0,0,72,1,1,2,1,1,116.45
213,0,1,1,29,0,0,1,0,2,20.0
6132,0,0,0,67,0,1,0,1,0,53.4
6097,0,1,1,72,1,1,2,0,0,81.0
5327,0,1,1,30,0,0,2,0,2,19.7
1214,0,0,0,19,0,0,0,1,1,86.0
2484,0,1,1,12,0,0,0,0,2,20.5
4724,0,1,1,50,1,1,1,1,1,80.05
3918,0,1,1,20,0,0,0,1,2,90.2
1150,0,0,0,41,0,0,0,1,2,40.35
1909,0,1,1,7,0,0,1,0,2,20.65
2447,0,0,0,7,0,0,0,1,2,74.9
4707,0,0,1,49,1,0,1,1,0,109.2
5799,0,0,0,13,0,0,0,1,2,35.1
5557,0,0,0,5,0,0,0,0,2,80.2
5151,0,0,0,2,0,0,0,0,0,20.35
4095,0,0,0,3,1,1,0,1,2,82.3
4420,0,0,0,27,1,1,1,0,0,69.35
3942,0,0,0,1,0,0,0,1,2,42.9
442,0,1,0,54,1,1,1,1,2,114.65
6903,0,1,0,35,0,1,1,1,2,69.0
2794,0,0,0,28,1,0,0,0,2,56.05
762,0,1,0,3,0,0,0,1,2,70.3
4465,0,0,0,31,0,0,1,1,2,50.05
5295,1,1,0,50,1,0,0,0,1,108.75
6303,0,1,0,71,0,1,2,0,2,109.25
3782,0,0,1,12,0,0,0,1,2,84.05
2614,0,1,1,67,1,1,1,1,0,94.35
3463,0,0,0,37,1,0,0,1,2,91.15
3830,0,1,0,4,0,0,0,1,2,100.2
4540,0,0,0,1,0,0,0,0,1,20.95
6199,1,0,0,43,0,0,0,1,2,89.55
717,0,0,0,32,0,0,0,1,1,85.65
2741,1,0,0,5,0,0,0,1,2,89.5
17,0,0,1,71,1,0,2,0,1,106.7
3181,0,1,0,64,1,1,2,1,2,81.3
6954,0,0,0,15,0,0,0,1,2,19.8
4422,0,0,0,30,0,0,1,1,1,97.0
456,0,1,1,28,0,1,1,0,1,92.9
122,0,0,0,3,0,0,0,1,2,74.4
4399,0,0,0,66,1,1,0,1,1,103.1
2031,0,1,1,5,0,0,0,0,2,25.05
6821,0,0,0,18,0,1,0,1,1,99.85
1634,0,1,1,63,1,0,2,0,2,59.0
380,0,1,0,41,0,1,1,1,1,86.2
3540,0,1,1,72,1,1,2,1,1,108.65
2656,0,0,0,39,0,1,1,0,2,59.3
1958,0,0,0,24,0,0,0,1,1,84.85
3166,0,1,0,14,0,1,0,0,1,48.8
3046,0,1,0,61,0,1,1,1,1,103.3
304,0,0,1,38,0,0,0,1,2,81.85
4666,0,0,0,25,0,0,0,1,0,19.2
4675,0,0,0,43,0,1,1,1,2,100.0
693,0,0,0,3,0,0,0,1,0,75.1
5078,0,1,1,67,1,1,1,1,1,100.25
3028,0,0,0,5,1,1,0,1,2,43.25
4081,0,0,0,1,0,0,0,1,2,69.6
3530,0,0,0,17,0,1,0,1,2,69.0
4288,0,0,1,3,0,0,0,0,2,91.85
2718,0,0,0,62,1,1,2,1,1,43.7
5708,1,1,1,11,0,0,0,1,0,78.1
2444,1,0,0,31,0,0,0,1,2,99.95
3968,0,1,0,72,0,0,2,0,1,20.05
6853,0,0,0,54,0,1,0,0,2,111.1
4608,0,0,0,55,0,0,2,1,1,77.8
6356,0,0,0,10,1,0,1,1,2,98.9
487,0,0,0,72,0,1,2,1,1,88.6
1687,0,1,1,12,0,0,1,0,2,26.4
1380,0,1,1,61,0,1,1,1,1,98.45
6736,0,1,1,67,0,0,2,1,2,20.8
3814,0,1,0,72,1,1,2,1,0,88.7
5211,0,1,0,8,0,0,0,1,2,84.9
3380,1,1,0,1,0,0,0,1,2,95.1
3680,0,1,0,9,0,1,0,0,2,40.65
951,0,0,0,8,0,0,0,0,2,75.6
6241,0,0,0,3,0,0,0,1,2,49.15
1492,1,0,0,19,0,0,0,1,2,88.2
180,0,0,0,1,0,0,0,0,1,29.95
294,0,0,0,12,0,0,0,0,2,19.7
3730,0,1,0,57,0,0,0,1,0,104.5
2269,0,0,0,1,0,0,0,0,2,70.9
3955,0,1,0,29,0,0,0,1,2,45.9
5454,1,1,0,1,0,0,0,1,2,69.55
911,1,0,0,15,0,0,0,0,0,89.0
6936,0,1,1,5,0,0,0,1,2,80.15
2780,0,0,0,25,1,1,1,0,2,74.3
4220,0,1,1,55,0,0,1,0,2,19.5
5491,0,0,0,21,1,0,0,0,1,65.35
6621,0,1,1,46,0,0,2,0,0,19.4
5315,0,0,0,1,0,0,0,1,2,45.6
272,0,0,0,1,0,0,0,0,1,24.8
2721,1,0,0,10,0,0,0,1,2,79.25
1423,0,1,0,15,0,0,0,1,2,101.1
5015,0,0,0,34,0,1,0,0,2,65.0
6377,0,0,0,1,0,1,0,1,2,44.65
5831,0,0,0,9,0,0,0,1,1,90.8
6620,0,0,0,1,0,0,0,1,2,80.8
1600,1,0,0,1,0,0,0,1,2,88.8
1098,0,1,1,67,1,1,1,0,2,89.55
572,0,0,0,11,0,1,1,0,0,64.9
3349,0,1,0,11,0,0,0,1,2,99.5
3217,0,0,0,2,0,0,0,1,2,20.45
6644,0,1,0,61,0,0,1,1,1,96.5
1246,0,1,1,45,1,0,0,1,2,105.15
4406,0,0,0,37,1,1,0,1,0,78.9
1076,0,1,1,58,0,0,1,1,0,24.5
6553,0,1,1,61,0,1,2,1,1,61.45
1130,0,1,1,26,0,0,2,1,0,19.15
3649,0,1,1,71,0,0,2,0,0,25.35
3923,0,0,0,1,0,0,0,1,2,80.85
246,0,0,0,41,0,0,1,0,2,65.0
1230,0,1,1,47,0,0,0,0,2,87.2
6352,0,1,0,42,1,0,0,1,2,94.4
3084,0,0,0,9,0,0,1,1,2,20.15
386,1,1,0,55,0,0,0,1,2,85.45
5737,0,1,1,18,1,1,0,0,2,83.25
5338,0,1,0,37,1,1,2,0,2,45.4
3438,0,1,0,18,0,0,0,1,2,94.7
792,0,1,1,8,0,0,2,1,2,19.85
5745,0,1,1,61,0,0,2,1,2,24.2
3679,0,0,0,1,0,0,0,1,2,20.1
3998,0,1,1,42,1,0,0,0,2,54.5
2348,0,1,1,61,1,0,0,0,1,33.6
3477,0,0,0,18,0,0,0,1,2,74.15
6336,0,1,1,57,0,0,0,1,2,74.3
248,0,0,0,1,1,0,0,1,2,48.55
1449,1,0,0,6,0,0,0,0,1,19.5
4356,0,0,0,3,0,0,0,0,2,18.8
5076,0,1,1,33,0,0,1,1,2,93.8
5203,0,0,1,3,0,1,0,0,2,70.7
4700,0,0,0,2,0,0,0,1,2,45.85
4548,0,0,0,22,0,0,0,1,2,84.3
1316,0,0,0,7,0,0,0,1,2,19.95
3846,0,1,1,8,0,0,0,1,2,45.45
2522,0,1,1,53,0,1,1,1,2,78.75
3761,0,1,0,72,1,0,2,1,0,82.65
1245,1,1,0,23,0,0,0,1,2,90.45
6547,1,1,0,68,1,0,2,1,2,41.95
6471,0,1,1,18,0,0,1,0,1,20.05
6481,0,1,1,5,0,0,0,0,0,69.95
640,0,1,1,68,0,0,2,0,1,25.4
5037,0,0,0,2,0,0,0,1,2,79.65
6436,0,0,0,70,1,1,2,0,1,79.6
5305,0,1,0,43,1,1,2,1,2,78.8
1471,0,1,0,31,0,0,0,0,0,88.65
6761,0,0,0,1,0,0,0,1,2,19.9
6867,0,0,0,67,0,0,2,0,1,19.95
2182,0,1,1,56,0,1,2,1,2,103.2
5432,0,0,0,2,0,1,0,0,2,76.4
6970,0,0,0,4,0,0,0,1,2,74.35
4757,0,0,0,1,0,1,0,0,2,60.1
1001,1,1,0,27,0,0,0,1,2,75.5
2116,0,0,0,1,0,0,0,0,2,54.35
5885,0,1,1,23,0,0,1,0,2,24.35
1223,0,0,0,2,0,0,0,1,2,75.9
5279,0,1,1,70,0,0,2,0,0,25.15
6753,0,1,1,56,1,0,1,0,1,68.75
699,0,1,1,72,1,1,2,1,0,66.5
387,0,0,0,42,1,1,1,1,2,54.75
5825,1,1,0,1,0,0,0,1,2,70.3
4151,1,0,0,57,0,0,0,1,2,55.0
4140,0,0,0,63,0,0,1,0,1,99.9
4814,0,0,0,22,0,1,0,1,2,90.0
6789,0,0,0,1,0,0,0,1,2,20.2
1750,0,0,0,50,0,1,2,1,1,89.7
895,0,0,0,30,1,0,0,1,0,94.3
1002,0,1,1,4,0,0,0,1,2,69.55
3366,0,1,0,31,0,0,1,1,2,93.8
33,0,0,0,1,0,0,0,0,1,20.2
6501,0,1,0,67,0,0,1,1,1,105.7
4061,0,0,0,14,1,0,0,0,1,50.1
6201,1,0,0,5,1,0,0,0,2,80.7
1829,0,0,0,8,0,0,0,1,2,74.85
546,0,1,1,39,0,0,0,1,2,86.3
1064,0,0,0,14,1,1,1,0,2,55.7
5795,0,0,0,39,1,0,0,1,2,106.4
6056,0,0,0,58,1,1,1,1,0,71.1
2979,1,0,0,57,0,1,1,1,2,53.5
4613,1,0,0,54,0,0,0,1,2,79.5
4806,0,0,0,67,0,0,1,1,2,19.45
3011,0,1,1,9,0,0,2,0,2,19.75
363,0,0,0,47,0,0,2,1,2,20.55
5362,0,1,1,65,0,0,2,0,0,24.75
4448,1,0,0,30,0,0,0,1,2,99.7
4331,0,0,0,71,0,0,2,0,1,25.55
3430,0,0,1,53,1,0,1,0,2,95.95
2389,0,1,1,71,1,1,1,0,2,85.45
3688,0,0,0,41,0,0,0,0,1,98.05
6679,0,1,0,60,1,1,2,0,1,37.7
4229,1,1,0,72,1,1,2,1,0,115.75
5417,0,1,1,14,1,0,2,1,1,61.4
4939,0,0,0,1,0,0,0,0,2,18.9
6387,0,1,0,35,0,1,0,0,2,56.85
274,0,0,0,1,0,0,0,0,2,70.6
769,0,1,0,17,1,0,1,0,2,64.8
2281,0,0,0,16,0,0,0,1,0,65.2
6292,0,1,1,39,0,0,1,0,2,100.0
2112,0,0,0,33,1,1,1,0,2,59.4
3395,0,0,0,62,1,0,0,0,1,90.7
5958,0,1,0,11,0,0,0,1,1,55.05
4550,0,1,1,72,0,0,2,1,1,26.25
6748,1,0,0,1,0,0,0,1,2,85.0
4537,0,1,0,17,0,0,0,1,2,49.8
1730,0,0,0,1,0,0,0,1,2,59.85
3799,0,0,0,31,1,1,0,0,0,65.25
2798,0,0,0,10,0,0,0,1,2,94.9
815,0,0,0,25,0,0,0,1,2,84.6
5837,0,0,0,2,0,0,0,0,2,51.4
59,0,0,0,72,0,1,2,1,0,107.5
532,0,0,0,2,0,0,0,1,2,79.95
2227,0,1,1,58,0,0,1,1,2,19.55
1487,0,0,0,56,0,0,1,1,2,106.8
1954,0,0,0,1,0,0,0,1,2,75.45
6454,0,0,0,41,1,0,0,1,0,81.3
4583,0,1,0,71,1,1,2,0,2,90.1
6877,0,0,0,1,0,0,0,0,1,69.7
1052,0,0,0,40,0,1,1,1,2,80.75
4882,0,0,0,66,1,1,2,1,1,62.5
3338,0,0,0,12,0,1,0,1,2,89.4
1163,0,0,0,12,0,0,0,1,1,89.75
3626,0,0,1,23,0,1,0,1,1,55.3
3141,1,0,0,2,0,1,0,1,0,95.1
5075,0,1,1,42,0,0,0,1,2,92.15
5492,0,1,1,65,0,0,2,1,1,25.3
4040,0,1,1,59,1,0,1,0,2,34.8
5971,0,1,1,66,0,0,2,0,0,20.0
152,0,1,1,70,1,0,1,1,0,108.15
102,0,0,0,38,0,1,1,0,1,95.0
6905,0,0,1,30,0,0,0,1,2,44.5
2186,0,1,1,46,0,0,2,0,0,19.95
5755,1,1,0,15,1,0,0,1,2,96.5
2753,0,0,0,1,0,0,0,0,2,95.65
4225,0,1,0,8,0,0,0,0,2,20.25
2372,0,1,1,71,1,1,2,0,0,90.3
6916,0,0,1,44,0,0,2,0,1,19.55
1123,0,1,1,25,1,0,1,1,1,61.6
1672,0,1,1,72,1,1,2,0,0,72.1
4851,1,0,0,3,0,0,0,1,2,70.4
6311,1,0,0,55,0,0,1,1,2,100.15
493,1,1,0,61,0,0,1,0,1,64.05
6166,0,1,1,31,0,1,0,1,2,104.2
169,0,1,1,16,0,0,0,0,2,20.4
1366,0,1,0,10,0,0,0,1,2,85.6
2795,1,0,0,9,0,0,0,1,2,74.55
1302,0,1,1,45,1,1,2,1,2,81.0
3931,0,1,0,25,1,1,0,1,2,71.05
6552,1,0,0,2,0,0,0,1,1,79.75
2694,0,1,1,8,0,0,0,0,0,19.65
5542,0,1,0,67,0,1,2,0,1,86.15
2774,0,0,0,6,0,1,0,0,2,50.05
4297,0,0,0,45,1,1,2,0,2,73.55
5511,0,1,0,70,1,1,2,1,0,76.95
136,0,0,0,23,1,0,0,1,1,75.0
3457,0,0,0,1,0,0,0,1,2,19.5
439,0,0,0,1,0,1,0,0,2,55.05
3514,0,1,1,60,1,1,2,1,2,110.6
5505,0,1,1,12,0,1,1,0,0,30.25
2504,0,0,0,2,1,0,0,1,2,75.7
4745,0,1,0,34,0,0,0,1,2,100.45
2574,1,0,0,39,0,0,0,1,1,95.65
4670,0,1,1,46,1,0,0,0,1,35.05
38,0,0,0,34,0,0,0,1,2,106.35
4196,0,1,1,70,0,0,2,0,2,24.05
1465,0,1,1,1,0,0,0,0,0,74.6
