,Churn
473,0
5802,0
4884,0
2368,0
4903,1
2020,0
5804,0
4984,0
2643,1
1409,0
310,0
4564,1
4867,0
5624,0
6038,1
4019,1
3319,1
5782,1
594,0
5749,0
3429,0
4835,0
2320,0
770,0
3892,0
2282,1
3138,1
4748,0
604,0
4594,1
6327,0
1650,1
455,0
2582,0
3826,0
3802,0
5161,0
2324,1
6463,0
7038,0
1199,0
4658,0
3242,0
5267,0
793,0
3436,0
4315,1
4624,1
2858,0
2385,0
3392,0
5396,0
1061,0
2563,1
3265,1
4869,0
4388,0
4397,0
1418,0
1488,0
3640,1
502,0
212,0
6010,0
4569,1
5324,0
1473,1
5902,0
447,0
6400,0
5464,0
2374,0
834,1
1023,0
4007,0
571,0
576,0
3272,1
2855,0
6161,0
1896,0
650,1
4083,1
1737,0
3916,0
3100,0
8,1
2534,0
1047,0
5174,1
153,0
367,0
43,0
2935,0
5621,1
6230,0
3398,0
2547,0
2980,0
4622,0
2745,1
2382,0
4844,0
6765,0
1389,1
4526,0
7029,0
6997,0
1355,0
2325,0
3576,0
1528,0
6291,0
1261,0
827,0
6763,0
3823,0
683,0
5506,0
2535,0
6252,0
217,0
13,1
1135,0
6890,0
1519,1
5655,0
786,0
2297,1
737,0
2826,0
6368,1
5162,0
1323,0
6442,0
3520,0
964,1
346,1
124,0
86,0
460,0
886,0
3571,0
958,0
323,0
58,0
2045,0
5188,0
6932,0
4750,0
4443,0
1861,1
6034,0
4591,0
5813,0
4337,0
506,0
6475,0
6425,0
3290,0
179,0
4470,0
525,0
3107,0
1280,0
5598,0
6864,1
4636,0
3456,0
1086,1
6269,0
6378,1
309,0
6541,0
411,0
1692,0
6899,1
5711,1
4033,0
1238,1
374,0
4390,0
3172,1
1657,0
1904,1
2613,1
3133,0
6046,0
6320,0
5202,0
3451,0
4211,1
972,0
4823,1
5548,0
6496,1
4391,0
2449,0
5887,0
1139,0
2330,0
5925,0
3073,0
69,0
4930,0
5763,0
4481,0
512,1
1365,1
692,0
1166,0
1641,0
6341,1
2772,0
2660,0
396,0
5275,1
712,0
5489,0
4562,0
3651,0
5577,0
5449,0
6,0
5575,0
812,0
3891,0
5359,1
4952,0
727,0
271,0
5846,0
4649,0
3737,1
3901,0
4464,1
3875,1
4927,0
6339,1
1070,1
5830,0
4704,0
2839,0
3964,0
6319,0
4423,0
1827,0
3205,0
1376,1
5002,0
2155,1
6185,0
4044,0
5258,1
628,0
878,0
4403,0
2287,1
4327,0
1468,0
6737,0
1998,1
4442,1
1087,0
4181,0
350,0
6623,1
4281,0
4375,0
5291,0
4307,1
4545,0
2981,0
6345,0
5591,1
5365,0
2890,1
6066,1
2336,1
302,0
3515,0
3303,1
817,0
182,1
1270,0
1797,0
16,0
4071,0
4629,0
4634,0
145,0
5321,0
619,0
797,0
5452,0
484,1
5500,0
5012,0
2392,0
3435,0
5247,1
2551,0
5847,0
5808,0
2881,0
2228,0
2966,0
2736,0
3841,1
4579,0
1957,0
2024,0
3382,0
732,0
1924,0
4645,1
600,0
3379,0
3211,0
2253,0
6968,1
2349,0
1403,0
4110,0
974,0
5283,0
6787,0
279,0
3924,1
157,0
5895,0
3203,0
3988,0
6952,1
2277,1
1094,0
417,0
6145,0
5623,0
6245,0
6786,1
4087,0
5646,1
1499,0
2995,0
2430,0
2209,0
3653,0
4482,1
1445,0
1429,0
4926,0
118,0
4677,1
5529,0
2191,1
702,0
2011,0
7037,0
3872,0
935,0
1817,0
2527,1
4819,1
1726,0
6608,1
1494,1
5596,0
2515,0
1860,0
4932,0
4417,1
500,0
6956,0
4538,1
107,0
1978,0
6973,0
1447,1
889,1
6926,1
6247,0
6669,0
3243,0
2516,1
904,0
4609,0
3328,0
4755,0
994,0
3244,0
4152,0
5056,0
261,1
6415,0
6202,1
749,0
4552,0
1299,1
2577,1
3173,0
1136,0
3062,0
2675,0
3746,1
6683,0
3124,0
1458,1
2559,0
6205,1
3973,0
2393,1
53,1
6666,0
3492,0
497,0
2486,0
2712,0
6569,0
3472,0
1311,0
3950,1
4068,0
1182,0
1577,1
4320,0
6747,0
3523,0
3860,0
818,1
6476,0
486,0
6211,1
1103,0
5849,0
2138,0
6706,0
100,0
3597,0
1693,0
1645,1
1034,0
330,0
5840,0
3171,0
5216,1
5093,0
37,0
3163,0
794,0
1608,0
6231,1
3483,0
3117,0
6998,0
4419,0
2930,0
3325,1
4144,0
3747,0
4535,1
2716,0
4365,0
3269,0
3784,1
5458,1
1874,0
5120,1
4242,0
3774,0
3936,0
5906,1
6208,0
5423,1
6504,1
2496,0
4925,0
1830,0
582,1
4498,0
4293,1
67,0
3612,0
6779,0
3895,0
4221,0
3376,0
4252,0
4154,1
4581,0
2943,0
5249,0
1027,0
4260,0
4376,0
3195,0
1066,0
1679,0
2649,0
4557,0
6924,1
1237,0
950,1
4533,0
6273,1
879,0
2822,1
141,1
913,0
5866,0
4171,1
2364,0
6456,0
5475,1
4574,0
5345,1
3027,0
5995,0
5647,0
3981,0
7042,0
5170,0
1763,0
5063,1
1381,0
5001,1
4525,0
2166,0
5040,0
6092,0
1021,0
2211,0
3604,0
6720,0
1318,0
6910,0
5716,0
1099,0
1521,0
5195,0
2689,0
5718,1
6233,0
3592,1
6168,1
6930,1
1841,0
6070,0
3057,0
726,0
5625,0
1639,1
4998,0
6167,0
864,1
3419,0
1698,0
4943,0
128,0
3506,0
3431,1
6599,1
2681,0
1644,1
4032,0
3167,0
6567,0
6328,0
541,0
4528,0
3807,1
3691,0
5237,0
6983,0
2170,0
4966,0
6015,0
5403,0
168,1
6628,0
1505,1
1941,0
6677,0
2070,1
6505,0
4519,0
1722,0
3397,0
946,0
2730,0
1591,0
868,1
6195,1
6582,0
6907,1
1717,0
6897,0
5255,0
5937,1
470,0
2760,0
1386,0
5003,1
2560,1
6050,0
723,1
4530,0
2497,0
474,1
6240,1
1785,0
2301,0
4655,0
6453,1
5415,0
3858,0
5428,1
3734,0
575,0
2199,0
5082,0
328,0
2339,1
1088,1
1502,0
1622,0
1942,0
3933,0
3512,0
191,1
3696,1
325,0
4415,0
5378,0
2663,0
2465,1
3326,1
2485,1
6533,0
1625,1
3196,0
2594,0
2261,0
2139,0
1343,0
4404,0
5744,0
843,0
2982,0
5062,1
4843,0
3573,0
3829,1
6871,0
3674,1
498,1
3497,0
4020,0
6908,1
6817,0
299,1
1943,0
6716,1
4213,1
2568,0
2328,0
5184,0
4193,0
6351,1
233,0
362,0
6487,0
5826,1
3389,0
2461,0
1347,0
4694,0
2145,0
5018,0
962,0
4778,0
4742,0
849,0
3703,0
5581,1
1484,0
5254,0
1257,0
395,0
4621,0
4411,0
4734,1
5087,0
5160,0
3180,0
3188,1
3837,1
4878,0
1457,0
441,0
1649,0
2147,0
4847,1
4804,0
5173,0
5225,0
443,0
662,0
2732,0
1108,0
2351,0
2711,1
3733,0
4012,1
1556,1
6531,0
4084,1
768,0
4462,1
2027,0
3554,0
3118,0
6694,0
6418,0
4678,1
4886,0
5520,0
3878,0
1362,1
6536,0
1631,1
654,1
1360,1
5045,0
5790,0
4599,0
3839,0
6503,0
918,0
5088,0
3675,0
4219,0
6512,0
3304,0
5459,0
3255,0
4502,1
2750,0
2050,0
1474,0
3359,0
2554,0
835,0
2588,0
1200,0
1851,1
1461,0
2141,0
776,0
4027,1
2265,1
4245,0
4354,0
6966,0
6156,0
3258,0
4274,0
2632,0
4099,0
3381,0
6353,0
4098,1
4749,1
836,0
2438,1
6022,0
1604,0
6094,0
2411,0
5731,0
6118,0
933,1
6984,0
669,0
6616,1
944,0
5307,0
3544,1
2645,0
4251,0
3588,0
6279,0
6299,0
5956,1
6440,0
5677,0
2575,0
1732,0
5027,1
4964,1
2076,0
320,1
4073,1
1828,0
5521,0
5811,0
5682,0
5525,0
3294,1
2260,1
5181,0
1282,0
3247,0
2818,1
1516,0
4838,0
1598,0
1987,1
1506,0
1683,0
2423,0
3712,0
1898,1
4466,1
4505,0
4630,0
1739,1
2080,0
681,0
2949,0
4849,0
3136,1
6946,0
1107,0
5165,1
3452,0
655,0
2379,1
4065,1
4383,0
5957,1
6745,1
3160,0
1422,0
5513,0
5109,0
955,1
1564,1
1756,0
2406,1
4309,0
6082,1
1652,0
5472,0
2880,0
925,0
6649,0
2395,0
6793,0
4664,1
4811,1
2961,0
2232,0
3568,0
1664,1
5129,0
415,0
1344,0
3245,1
339,1
6035,1
5535,0
5929,0
2482,0
2298,0
847,0
1798,0
3156,0
6800,1
5429,0
615,0
3355,0
656,0
3915,0
6091,1
6005,0
2743,0
3611,0
5597,1
6923,0
4287,1
1973,0
7028,0
3008,0
3728,0
5606,0
2044,0
3907,0
2788,0
1101,0
3231,0
2043,0
590,0
6991,1
4241,1
2332,0
6540,0
1493,0
3853,0
5146,0
2048,1
45,0
1565,0
4517,1
2902,0
4580,0
3086,0
47,1
6689,0
3313,0
1572,1
6392,0
3660,0
1774,0
1856,1
3434,0
5518,1
3583,0
400,0
5954,0
4367,0
1996,0
140,0
905,1
4801,0
566,0
4945,0
4908,1
4731,0
611,1
778,0
6713,0
1466,0
5715,1
4626,0
5201,0
117,1
1264,0
581,1
1588,0
2698,0
3987,1
3706,0
6548,0
3896,0
3208,0
5514,0
4101,0
4427,0
2280,0
524,1
1781,0
4299,0
421,0
317,1
1704,1
1642,0
2408,0
424,0
6840,0
2160,0
941,0
733,0
4905,0
5009,0
6493,0
6815,0
329,0
6610,0
1011,0
2908,1
6008,0
6645,0
6444,1
1109,0
6696,0
4900,1
5756,0
68,0
4590,0
664,0
565,0
4512,0
1696,1
4879,0
1501,0
6298,0
6948,0
6933,1
3279,0
764,0
5784,0
1442,0
7030,0
4078,1
4492,0
3152,0
6658,1
6229,0
5329,1
1332,0
5616,0
1548,0
4188,1
5485,0
2773,0
6597,1
6460,1
6875,0
4352,0
2467,0
3662,1
4091,0
4100,0
5325,0
4499,1
1867,1
667,0
6885,1
3079,1
6591,1
121,0
6600,1
2925,0
1364,0
711,0
2427,1
4450,1
2163,1
1414,0
965,1
2521,1
6526,1
3034,1
757,0
1290,0
3298,0
1274,0
5257,1
5630,1
2369,0
4781,0
5526,0
6131,1
1190,0
3094,0
1767,0
1659,0
6824,1
3251,1
5972,1
183,0
990,0
6316,0
2407,1
6741,1
3114,0
785,1
6632,1
70,0
1727,0
5401,0
1735,0
5198,1
4343,1
2928,0
6495,1
4961,0
608,0
2203,0
4069,0
425,0
508,1
5693,0
1198,0
588,0
3783,0
6580,0
900,0
3259,0
6394,0
4989,0
1545,0
6650,0
4746,1
4807,0
3751,0
1910,0
3738,0
6388,1
1209,0
5231,1
6925,0
2548,0
4785,1
3594,0
2508,0
2184,1
4853,0
5376,0
6458,0
3323,0
3798,0
3935,0
7018,1
2679,1
6340,0
5964,0
3074,0
6876,0
6437,0
2549,0
3865,0
1227,0
1205,1
751,0
1174,0
2977,0
2627,0
3148,0
909,0
234,0
334,1
6095,0
3289,0
2343,0
4641,0
1690,0
948,1
2809,0
3260,1
705,1
4627,0
6942,0
2270,1
5191,0
1262,0
1456,1
6432,0
1400,0
4988,0
1284,0
326,0
6110,0
4861,0
1181,1
2219,0
5334,1
4257,0
1126,1
6934,0
2373,0
1125,1
3017,0
2283,1
6106,1
3043,1
1167,0
2164,0
6782,0
6978,0
6939,0
458,0
805,0
5358,0
983,1
579,0
5721,0
3856,0
6704,0
3020,0
3790,1
4701,0
6614,0
5175,0
3772,1
2967,0
620,0
0,0
1511,0
3659,0
2019,1
28,0
1789,0
3602,0
4292,1
591,0
2646,0
2093,0
2612,0
6140,0
5419,0
3919,1
2763,0
209,0
5684,1
2134,0
3819,0
3473,1
756,0
2785,0
4054,0
6196,0
3164,0
2099,0
5939,0
2792,0
4910,1
1008,1
3536,0
3663,0
489,1
1925,0
4050,0
6727,0
1305,0
4368,1
1459,0
4767,0
850,0
5503,0
4605,0
6920,0
5836,0
1249,1
2202,1
5594,0
1283,0
2717,0
807,0
2924,1
5285,0
2595,0
2319,0
5732,0
5528,0
2185,1
2846,0
2355,0
3099,0
6457,0
2652,0
1949,0
366,0
4727,0
5874,1
1566,0
6778,0
2370,0
1619,0
6081,0
3528,1
1439,1
5287,0
3126,0
1816,0
6571,0
679,0
1428,1
2492,1
3309,0
3200,1
1863,0
4904,0
2113,0
3213,0
653,0
2386,0
1175,0
2708,1
3969,0
5571,0
857,1
3054,0
5817,1
4263,0
5450,1
3227,0
5466,0
6881,0
4946,1
1179,0
1596,0
6678,0
6333,1
1609,0
5029,0
6184,0
4283,0
1748,0
4447,0
4805,0
4893,1
2193,0
1221,0
3238,0
2913,0
2893,1
6596,0
3531,0
5752,0
6508,1
5253,0
6137,1
1961,0
5670,1
4435,0
2653,0
1035,0
1071,1
1090,0
4310,0
2670,0
6988,0
2046,0
1419,0
774,1
3145,1
256,0
4948,0
3755,1
467,0
6223,1
1110,0
5573,1
877,0
6235,1
3743,1
639,1
1751,1
1039,1
6637,0
6494,0
149,0
2599,0
4995,1
5125,1
2455,1
2023,1
5309,0
3792,1
4831,0
1626,0
4018,0
2710,0
281,0
2233,0
5833,0
4659,0
7026,1
3548,0
3476,0
1054,1
3580,1
2940,1
3427,0
4338,0
3898,0
5769,0
4410,0
6816,1
1655,1
1301,0
6492,0
1482,0
1,0
4366,0
492,1
6603,0
5917,0
3551,1
943,0
713,0
1870,0
125,0
1315,0
515,1
6306,0
4122,0
6321,1
1189,0
164,0
3253,0
2304,0
41,0
3881,0
5540,1
4126,0
5997,0
3903,0
466,0
2241,0
5814,0
6441,0
4524,1
4676,0
3869,0
31,0
5052,0
6771,0
3880,0
1504,0
609,1
6228,0
2836,0
1133,0
2008,1
4486,0
4372,0
3081,1
1780,1
5219,0
383,1
4723,1
2994,0
7024,0
1486,1
6332,0
4395,1
6414,0
6155,1
1814,0
5311,1
6563,1
1654,0
2824,0
880,1
6088,1
4385,0
6422,0
4842,1
62,0
5463,1
4929,0
5539,0
1203,0
5360,1
3052,0
5639,0
2990,1
3833,0
6561,0
2047,0
5777,0
3750,0
46,0
5735,0
2327,0
6768,0
2098,0
509,0
269,0
3187,0
1331,0
1074,0
4901,1
3105,0
791,0
1042,0
6260,0
5590,0
159,0
5115,0
4620,0
372,0
1773,0
3810,0
2279,0
6551,0
4963,0
3246,1
1638,0
999,0
3684,0
1489,0
1542,0
2634,1
3692,0
3533,0
3647,0
3493,0
2882,0
4872,0
907,0
343,0
6882,0
1879,1
1363,0
1142,0
4756,0
2950,0
2802,1
2322,0
3418,0
176,1
1723,0
7004,0
243,0
7015,0
4082,1
5035,0
2284,0
4240,1
6282,0
4471,1
5810,1
3780,0
6020,0
5953,0
3116,0
3791,0
5269,0
2680,0
4799,0
4873,0
5667,0
2922,1
1731,1
5158,0
3921,0
232,1
4273,1
1354,1
4109,1
2784,1
1995,1
6027,0
3014,0
6071,0
5114,0
959,0
3394,0
3920,0
1623,0
1173,1
6626,1
315,0
5912,1
5252,0
499,1
6061,0
2543,1
2,1
4856,1
327,1
2541,0
496,0
3406,0
6595,0
2938,0
5379,0
5985,0
2073,0
3226,0
1330,0
4426,0
311,0
2156,1
2828,0
3119,1
5786,0
4189,0
6635,0
1818,0
3095,0
4445,0
115,0
3358,0
4871,0
5478,0
2829,1
1733,0
3694,1
3603,1
3111,1
2378,1
6884,1
5592,0
678,0
5,1
2117,0
674,1
4322,0
1219,0
5827,0
6838,1
5085,0
1048,0
6860,1
4547,0
2957,0
5868,0
3788,1
3940,0
2598,0
4127,0
4797,0
291,0
6955,0
3563,0
5266,0
4141,0
1359,1
3764,0
133,1
5754,0
453,1
551,0
3403,0
6990,0
72,0
6542,1
2793,0
2751,0
1157,0
6484,0
2911,1
2110,0
4187,0
6037,0
2519,0
2065,0
181,0
4409,0
4887,0
5549,1
5065,0
3930,0
1383,1
5352,0
4217,0
445,1
5192,0
2480,1
1850,0
721,0
1469,1
6976,0
2552,0
6300,0
6262,0
2288,0
2346,0
6578,0
5690,0
1740,0
2517,1
4858,0
6711,0
4163,0
2409,0
2685,0
3001,0
1191,0
728,1
1820,0
894,0
2895,0
1674,0
5738,1
110,1
747,0
6724,1
2257,0
3877,1
1835,0
5626,0
6315,0
882,1
1026,1
6018,0
5148,0
5875,0
518,1
57,0
1852,1
5370,0
4269,1
2805,0
6788,0
5392,0
5582,0
3083,0
6728,0
6857,0
2769,1
5852,1
3225,0
5543,0
4340,0
6007,0
6344,1
6641,1
5239,0
1080,0
7041,1
3729,0
2001,0
2903,0
6012,1
4772,0
3545,0
1578,1
4575,0
132,0
1105,0
1153,0
2109,0
5730,0
2833,0
5792,1
5141,0
214,0
5599,1
1955,0
1294,1
2606,0
4962,0
4549,0
2194,1
3781,0
3412,0
2787,0
4673,1
2183,0
6446,0
3471,0
1063,0
5736,0
6653,0
4802,0
5576,1
5992,1
4650,0
2537,0
1220,0
1546,0
6617,0
3867,0
1161,1
2637,0
4509,1
1866,0
1058,1
4506,0
2591,0
1024,0
2731,0
945,1
1279,0
2927,0
5683,1
340,0
1899,0
2312,0
5934,1
3230,0
450,0
369,0
3874,0
4384,1
952,0
6543,0
4866,0
1341,1
6398,1
6393,0
6868,1
2929,0
481,1
4209,0
3077,0
5071,0
97,1
6836,1
4628,0
5796,0
2569,0
1127,0
937,1
5406,0
494,0
94,0
6912,0
573,1
5601,0
4712,0
1068,1
5610,1
4270,0
3840,0
4226,1
2639,1
2525,0
2906,0
6941,0
5016,1
3636,0
1236,1
4560,0
4669,0
6271,0
1793,0
2149,0
4212,1
5507,0
2509,0
4647,0
6661,0
5488,0
2106,0
1689,0
7000,0
997,1
1267,0
6459,0
348,0
3939,1
2887,1
3948,0
1350,0
1285,1
5649,0
4034,0
5217,0
2217,0
845,0
5663,0
2474,0
82,1
4275,0
6435,0
193,0
1254,0
1855,0
260,1
4662,0
4976,0
1665,0
2523,0
2452,1
6819,1
431,0
6564,0
3371,1
890,0
821,0
4145,0
475,1
1950,1
5132,0
1120,0
1640,0
1894,0
4827,1
4654,0
4689,0
6072,0
4048,0
2865,0
3386,0
6434,1
4619,1
1811,0
244,0
5167,0
373,0
6163,0
6974,0
4162,0
4166,0
4665,0
3092,1
2314,0
6219,1
1956,0
308,0
3518,0
2159,0
854,0
1997,0
6042,0
4632,1
3113,0
1738,0
4312,0
4738,1
1520,0
2077,1
106,0
2584,0
873,1
6947,0
2476,0
6562,1
5427,0
95,1
1695,0
4271,0
5944,1
1959,0
2464,1
1617,0
3617,1
6148,0
1917,0
3453,0
6622,1
694,0
4062,1
1522,1
6919,0
5176,0
5961,0
1231,0
3634,0
1018,0
4200,0
3337,0
2471,1
301,1
5140,0
4515,0
2403,0
1788,0
2876,0
597,0
690,0
6732,0
646,1
4439,0
174,0
1974,1
1648,0
4829,0
6043,1
1844,0
1776,0
4262,1
238,1
4088,1
4674,0
1536,0
3462,1
984,0
759,0
6814,0
3268,0
4625,0
5389,0
3601,0
5494,1
831,0
919,0
1113,1
2243,0
6080,1
1902,0
3413,0
1025,0
846,0
703,0
2030,0
1675,1
1953,1
2512,0
6281,0
300,0
6945,1
2347,0
6447,0
4780,0
6889,0
6517,0
2342,0
4049,0
2264,0
468,0
2565,0
4414,0
3685,0
6023,0
5650,0
1771,1
3719,0
2262,1
6455,0
2629,1
3763,1
6117,0
54,0
1994,0
6288,0
2140,1
5910,0
185,1
2603,0
5554,0
6157,1
658,1
2207,1
438,0
1015,1
1427,0
4022,0
501,0
731,0
1633,0
6703,1
2628,0
3285,0
376,0
3345,0
3404,0
2853,0
6256,1
2672,0
3866,0
5070,1
4982,1
237,0
4132,1
7,0
2196,0
3061,1
5271,0
6546,0
6921,0
6776,0
3350,1
2764,0
4787,0
1630,0
1446,0
5524,0
335,1
208,1
1091,0
4294,0
4775,1
156,0
2507,0
469,1
3159,0
897,0
151,1
448,0
5632,0
5145,0
6886,1
5858,0
6657,0
1017,0
2037,0
1926,1
6067,0
3184,0
4735,0
1339,1
6390,0
3220,0
2229,0
44,0
1192,1
3773,1
648,1
4059,1
5159,0
6639,0
2630,0
4377,0
5421,0
4234,0
2909,0
1321,0
1137,0
3984,0
4565,0
837,1
2585,0
4323,1
3585,0
3254,0
3693,0
3202,0
1635,0
6863,0
4527,1
5725,0
6363,0
4683,0
4001,0
435,0
2168,1
6577,0
4036,0
3801,1
2136,0
6213,0
725,0
5544,1
5888,1
365,1
1426,0
3938,0
5402,0
6334,0
5617,0
6530,0
2726,0
4072,0
1840,1
4353,1
3137,0
5047,0
832,0
3978,0
539,0
4714,0
3542,0
6036,0
5967,1
1833,0
296,0
137,0
2621,0
2012,1
2665,0
563,0
3352,1
643,0
6803,0
5809,0
119,0
2526,1
4489,0
1752,0
2434,0
1807,1
4136,0
5072,0
1607,1
4571,0
1057,1
3797,0
5156,0
4119,0
4615,0
6770,0
2546,0
5154,1
2879,1
4824,0
1251,1
5515,0
2307,0
987,0
290,1
4790,0
3787,0
4491,0
3541,0
3789,0
526,0
428,0
3976,1
6100,1
6413,1
6302,1
1124,0
1160,0
960,0
1369,0
3848,0
1464,0
4539,1
393,0
2747,0
4227,0
5431,0
6909,0
3443,0
2363,0
6335,0
2557,0
1196,0
3076,1
5039,1
3586,1
3066,0
5803,1
6781,1
1507,0
6255,0
1229,0
5553,1
6178,0
7014,0
3093,0
2623,0
3884,0
5776,0
5710,0
6565,0
2883,0
5829,0
5386,0
2872,0
528,0
6222,0
1255,1
3496,0
5724,1
1303,0
561,0
3900,0
3992,0
5131,1
3026,1
1553,0
5701,0
6783,0
1754,0
722,1
6633,1
5644,1
1146,0
5658,0
6251,0
671,0
3305,0
687,1
1908,0
2988,0
6074,1
283,0
6647,0
220,1
5092,0
6780,0
6192,0
4475,0
3622,0
6438,1
6607,1
570,0
3672,1
5138,0
1544,0
1121,0
4444,1
73,0
4643,0
4839,1
4986,0
1006,1
1260,0
4955,1
4958,0
2678,0
6980,1
2956,0
5976,0
829,0
2032,1
3753,0
5292,0
775,0
1448,0
6887,0
4142,0
5123,1
6399,0
2518,0
3917,1
1903,0
4940,0
4812,1
6048,1
3963,0
6467,0
5918,0
1117,0
4180,1
4202,0
3154,0
4967,1
1606,0
2192,0
3527,1
6813,1
888,0
2884,0
432,0
567,0
554,1
280,0
2724,0
84,0
1210,1
1960,0
1709,0
2448,1
6267,1
1241,0
3096,0
1049,1
686,0
673,0
6843,1
4483,0
830,1
1291,1
3967,0
584,0
1680,0
6374,0
6969,1
595,1
5384,0
1075,0
2592,0
5536,1
6016,1
6646,0
2972,0
491,0
2944,0
5771,0
1684,0
4438,0
5855,0
2357,0
2871,1
3322,1
5611,0
5006,1
3390,0
5697,1
2808,0
4079,0
3334,1
1310,1
6486,1
1207,0
4921,0
2910,0
6009,1
1128,0
4875,1
3047,1
2555,0
2354,0
2529,1
1082,0
5938,0
1156,0
4523,0
4339,0
4374,0
5230,0
734,0
4744,0
4679,0
6587,0
6366,0
3624,0
2998,0
4328,0
375,0
6796,1
5412,0
99,1
2667,0
3216,1
6769,0
3387,0
4017,0
4894,0
3607,0
1304,1
4543,0
5924,0
6085,1
4973,0
3707,0
853,0
1784,1
401,0
1936,0
3085,1
3274,0
360,0
6065,0
3543,0
5689,0
2311,0
5051,0
6529,1
1822,1
1016,0
147,1
607,0
1636,0
3391,0
6913,0
6217,0
1821,1
6960,0
4090,0
5297,0
6275,0
993,0
1513,1
3486,0
1234,0
2937,0
5209,0
2345,0
6221,0
4429,0
4179,0
1883,1
1862,0
6384,0
3310,1
6122,0
1393,0
2550,0
402,1
2775,1
4085,0
4536,1
20,1
1585,0
6739,0
3218,0
5703,0
1865,0
1441,0
1213,0
2469,0
2899,0
3687,1
4832,0
1129,0
5640,1
5870,1
1065,1
750,0
5323,0
2647,0
4859,0
2849,0
1669,0
1772,1
3598,0
4086,0
3331,0
2545,0
242,0
5030,1
2756,1
2725,0
6286,0
3721,1
4758,0
12,0
2042,0
6850,0
4149,1
148,0
5607,1
4567,0
2316,0
3642,0
1929,0
154,0
2221,0
2272,0
108,0
3317,0
3932,1
6349,0
427,0
1944,1
1755,0
6086,0
822,0
5439,1
440,0
6268,0
684,0
7003,0
1143,0
5602,0
3613,0
976,1
6305,1
4698,1
1235,0
2176,0
4696,0
4349,1
1934,1
2174,0
930,0
1579,1
2777,0
3770,0
1177,0
5586,0
1621,1
6722,0
3676,0
63,0
4370,0
6277,1
2215,0
5446,1
3704,0
5124,0
5274,0
4688,0
3101,0
1557,0
5705,0
6272,0
3511,0
3264,0
1707,0
4703,1
92,0
3024,0
5301,1
1611,0
1358,0
2131,0
3912,0
4606,0
2038,1
3234,0
3557,0
3549,0
2498,0
6654,1
6375,1
2857,0
1114,0
745,0
3440,0
1983,0
3324,0
2701,0
5380,1
318,1
3161,0
3165,0
2251,0
4534,0
3870,0
5614,0
874,0
6373,0
6604,0
5300,1
2069,1
7039,0
1384,1
665,0
3416,0
5659,0
5566,0
5686,1
2479,0
1989,0
2867,0
4776,0
1185,1
1188,0
2384,0
6949,0
3204,0
2993,0
1020,0
1062,0
4265,1
4382,0
2035,0
6307,0
6854,0
714,0
3993,0
3909,0
1233,0
6478,0
5348,0
6630,0
6982,0
746,0
4653,1
2931,0
4458,1
1162,0
1587,0
696,0
2538,0
3639,0
6203,0
1498,1
6758,0
6721,0
3758,0
6114,0
1823,1
5333,1
451,0
2532,0
3670,0
4944,0
910,1
3532,1
449,0
2173,0
3035,0
799,1
1509,1
2489,0
3683,0
4247,0
808,1
2426,0
5270,1
3209,1
3439,1
6403,0
1067,0
5282,1
412,0
6844,0
2918,0
6594,0
4572,0
3348,0
2133,1
3485,1
2561,0
4112,0
908,0
1694,1
557,0
2247,0
3952,0
2125,0
3288,0
5135,0
3899,0
6851,0
5950,0
4558,1
42,0
5783,1
920,0
1300,0
5835,0
3340,1
356,0
2442,1
1524,0
2886,0
4914,0
2719,0
1595,1
3018,0
4182,1
5214,1
1273,0
382,0
5898,0
4457,0
2699,0
6342,0
3959,0
6839,1
2524,0
1147,0
3709,0
6570,0
2932,0
1646,0
4066,0
1937,0
4830,0
2997,1
3678,0
2695,0
3882,0
2848,0
6544,1
3654,0
766,0
5546,0
4695,0
3150,0
2090,0
5180,0
3705,0
6464,0
3235,0
2418,0
3911,1
126,1
2850,0
780,0
4828,0
3320,0
2873,1
1402,1
5385,1
4350,0
2344,0
4792,1
5388,1
3771,1
2310,0
2562,0
2258,0
3794,0
5408,0
6986,1
6490,0
2735,0
6987,0
4123,0
253,0
6029,0
1319,1
5008,0
973,1
4810,1
307,0
6805,0
5978,0
5199,0
1741,0
5242,1
51,1
631,0
828,1
1044,0
